【令和８年５月１日時点】入所児童数,,,,,,,,,,,,
施設所在区,標準地域コード,施設・事業名,施設番号,０歳児,１歳児,２歳児,３歳児,４歳児,５歳児,合計,更新日,
鶴見区,14101,末吉いづみ保育園,1410051013704,15,36,36,36,36,36,195,2026-05-01,
鶴見区,14101,鶴見どろんこ保育園,1410051016194,6,16,18,20,20,20,100,2026-05-01,
鶴見区,14101,末吉にこにこ保育園,1410051018547,6,10,9,12,12,12,61,2026-05-01,
鶴見区,14101,わおわお東寺尾保育園,1410051017937,6,8,12,14,14,14,68,2026-05-01,
鶴見区,14101,東寺尾どろんこ保育園,1410051023737,15,24,25,30,30,28,152,2026-05-01,
鶴見区,14101,フェアリーテイルつばさ,1410051025435,3,8,3,8,6,5,33,2026-05-01,
鶴見区,14101,フェアリーテイルみらい,1410051026706,-,10,7,11,6,7,41,2026-05-01,
鶴見区,14101,總持寺保育園,1410051015105,14,65,69,68,70,67,353,2026-05-01,
鶴見区,14101,ルーチェ保育園　鶴見,1410051019487,6,12,12,12,12,12,66,2026-05-01,
鶴見区,14101,豊岡ひまわり保育園,1410051025377,3,8,9,11,12,12,55,2026-05-01,
鶴見区,14101,みゆさと保育園,1410051025419,4,10,10,10,12,12,58,2026-05-01,
鶴見区,14101,横浜山手モンテッソーリ保育園,1410051025880,6,8,10,10,11,7,52,2026-05-01,
鶴見区,14101,あゆみ保育園　鶴見,1410051024719,7,15,15,18,18,18,91,2026-05-01,
鶴見区,14101,鶴見乳幼児福祉センター保育園,1410051017887,6,20,20,21,19,21,107,2026-05-01,
鶴見区,14101,花園保育園ベビーホーム,1410051017895,5,16,19,12,21,15,88,2026-05-01,
鶴見区,14101,花月園前ここわ保育園,1410051024933,7,12,13,11,14,11,68,2026-05-01,
鶴見区,14101,ヨコハマさくら保育園,1410051019867,6,16,18,16,17,18,91,2026-05-01,
鶴見区,14101,生麦保育園,1410051016251,-,16,16,13,15,17,77,2026-05-01,
鶴見区,14101,生麦ポケット保育園,1410051026078,6,8,9,9,11,12,55,2026-05-01,
鶴見区,14101,スターチャイルド≪生麦ナーサリー≫,1410051026664,6,8,10,9,12,10,55,2026-05-01,
鶴見区,14101,ＳＥＡ　ＫＩＤ保育園,1410051024461,3,12,14,21,20,19,89,2026-05-01,
鶴見区,14101,Ｐ’ｓスマイル保育園,1410051016152,-,8,10,10,12,12,52,2026-05-01,
鶴見区,14101,鶴見ポケット保育園,1410051013738,5,10,8,7,11,12,53,2026-05-01,
鶴見区,14101,Ｊキッズプラネット鶴見保育園,1410051015097,6,8,14,14,15,15,72,2026-05-01,
鶴見区,14101,桑の実鶴見保育園,1410051016160,6,10,10,13,12,13,64,2026-05-01,
鶴見区,14101,ビーンズ保育園,1410051013795,5,12,15,18,20,17,87,2026-05-01,
鶴見区,14101,鶴見あけぼの保育園,1410051016186,5,9,11,10,10,9,54,2026-05-01,
鶴見区,14101,鶴見中央はなかご保育園,1410051024750,-,8,9,10,11,10,48,2026-05-01,
鶴見区,14101,ナーサリーつるみ,1410051013761,3,12,14,13,18,20,80,2026-05-01,
鶴見区,14101,実遊中央保育園,1410051017903,2,8,9,6,8,7,40,2026-05-01,
鶴見区,14101,ポピンズナーサリースクール鶴見,1410051019479,2,8,10,8,11,11,50,2026-05-01,
鶴見区,14101,あーす保育園鶴見中央,1410051028504,-,7,8,2,9,9,35,2026-05-01,
鶴見区,14101,鶴見すずらん保育園,1410051013720,8,16,20,24,24,23,115,2026-05-01,
鶴見区,14101,トライアングル　スマイル,1410051025369,2,8,8,8,9,5,40,2026-05-01,
鶴見区,14101,かもめ保育園,1410051017945,5,12,12,12,12,12,65,2026-05-01,
鶴見区,14101,保育園スカイ・ウイング,1410051026771,6,19,25,21,27,24,122,2026-05-01,
鶴見区,14101,總持寺本町通保育園,1410051015113,12,20,25,31,30,29,147,2026-05-01,
鶴見区,14101,みつる保育園,1410051016236,9,20,20,23,23,22,117,2026-05-01,
鶴見区,14101,みつばち保育園,1410051013803,7,14,15,13,14,17,80,2026-05-01,
鶴見区,14101,入船の森保育園,1410051014645,-,8,8,8,7,5,36,2026-05-01,
鶴見区,14101,東漸保育園,1410051016228,4,15,17,19,18,18,91,2026-05-01,
鶴見区,14101,わくわくの森保育園,1410051013811,4,13,13,12,12,13,67,2026-05-01,
鶴見区,14101,ねむの樹　元宮保育園,1410051019495,-,-,-,-,17,21,38,2026-05-01,
鶴見区,14101,鶴見ルーナ保育園,1410051016202,5,11,18,20,20,19,93,2026-05-01,
鶴見区,14101,太陽の子　尻手保育園,1410051013712,3,15,15,16,14,13,76,2026-05-01,
鶴見区,14101,市場保育園,1410051013662,3,15,19,19,24,22,102,2026-05-01,
鶴見区,14101,わおわお保育園,1410051015345,6,20,20,24,24,26,120,2026-05-01,
鶴見区,14101,ミアヘルサ保育園ひびき矢向,1410051016210,0,10,11,11,12,10,54,2026-05-01,
鶴見区,14101,矢向あけぼの保育園,1410051016244,2,7,10,11,10,12,52,2026-05-01,
鶴見区,14101,明日葉保育園鶴見園,1410051026524,-,6,11,12,11,10,50,2026-05-01,
鶴見区,14101,オハナ鶴見保育園,1410051028587,3,13,13,15,17,14,75,2026-05-01,
鶴見区,14101,市場ポケット保育園,1410051023851,1,8,7,12,11,11,50,2026-05-01,
鶴見区,14101,太陽の子　鶴見市場保育園,1410051023943,5,8,10,13,13,13,62,2026-05-01,
鶴見区,14101,尻手すきっぷ保育園,1410051024313,3,7,11,11,10,10,52,2026-05-01,
鶴見区,14101,横浜矢向雲母保育園,1410051025682,3,3,9,9,8,8,40,2026-05-01,
鶴見区,14101,ぶれすと尻手ほいくえん,1410051024453,2,7,10,14,17,9,59,2026-05-01,
鶴見区,14101,こあらっこはうす　ル・ソレイユ,1410051024149,5,8,10,12,12,12,59,2026-05-01,
鶴見区,14101,ゆめいろ保育園,1410051017929,9,22,23,18,22,23,117,2026-05-01,
鶴見区,14101,Gakkenほいくえん矢向,1410051018521,-,3,9,5,9,9,35,2026-05-01,
鶴見区,14101,矢向保育園,1410051017911,2,10,13,10,15,13,63,2026-05-01,
鶴見区,14101,ベネッセ　矢向保育園,1410051015139,4,10,10,9,11,9,53,2026-05-01,
鶴見区,14101,スターチャイルド≪矢向ナーサリー≫,1410051023513,2,7,9,9,7,8,42,2026-05-01,
鶴見区,14101,新鶴見はなかご保育園,1410051013696,3,11,11,11,12,12,60,2026-05-01,
鶴見区,14101,わおわお江ヶ崎保育園,1410051019453,6,12,12,12,14,12,68,2026-05-01,
鶴見区,14101,木下の保育園　江ヶ崎,1410051024537,2,4,8,10,11,13,48,2026-05-01,
鶴見区,14101,幸いづみ保育園,1410099000001,3,2,4,4,6,5,24,2026-05-01,
鶴見区,14101,幼保連携型認定こども園　あさひ台幼稚園,1410051025286,-,10,12,12,10,10,54,2026-05-01,
鶴見区,14101,認定こども園　ＹＭＣＡつるみ保育園,1410051025765,-,9,11,12,9,10,51,2026-05-01,
鶴見区,14101,三色えのぐの保育園,1410052003266,3,6,6,-,-,-,15,2026-05-01,
鶴見区,14101,ユニコーン・キッズクラブ,1410052004231,2,6,5,-,-,-,13,2026-05-01,
鶴見区,14101,鶴見Ａｓａ保育園,1410052004751,0,5,4,-,-,-,9,2026-05-01,
鶴見区,14101,ぶれすと尻手ほいくえん附属元宮,1410052005147,5,8,8,-,-,-,21,2026-05-01,
鶴見区,14101,尻手スマイル保育園,1410052006350,1,4,3,-,-,-,8,2026-05-01,
鶴見区,14101,矢向つぼみ保育園,1410052005626,1,6,5,-,-,-,12,2026-05-01,
鶴見区,14101,北寺尾むつみ小規模保育施設,1410052003183,-,4,4,-,-,-,8,2026-05-01,
鶴見区,14101,北寺尾４丁目むつみ小規模保育施設,1410052004942,-,4,4,-,-,-,8,2026-05-01,
鶴見区,14101,フラッフィー小規模保育園,1410052005618,-,5,5,-,-,-,10,2026-05-01,
鶴見区,14101,桑の実馬場保育園,1410052003241,3,8,9,-,-,-,20,2026-05-01,
鶴見区,14101,ひまわりニコニコ保育園,1410052005519,3,8,6,-,-,-,17,2026-05-01,
鶴見区,14101,みんなのいえ東寺尾,1410052004249,4,9,9,-,-,-,22,2026-05-01,
鶴見区,14101,リュミエール小規模保育園,1410052005139,-,5,6,-,-,-,11,2026-05-01,
鶴見区,14101,ＳＡＩＬ　ＫＩＤ保育園,1410052004769,0,5,7,-,-,-,12,2026-05-01,
鶴見区,14101,鶴見中央ハート保育園,1410052005170,2,10,8,-,-,-,20,2026-05-01,
